,teamId,teamIdsByProvider,sportId,shortCode,market,marketAbbr,name,nameShort,active,primaryColor,competitorType
93,169,"{'6': '7293edba-9810-444b-9df1-709c24d1c522', '10': '1000046888', '15': '8101'}",5,WAS,Washington,WAS,Huskies,Huskies,True,#46497A,Team
94,167,"{'6': '5c218a3b-a013-4037-97b6-603c9502b701', '10': '1000063673', '15': '8057'}",5,ORE,Oregon,ORE,Ducks,Ducks,True,#0e5833,Team
95,163,"{'6': '9e33183c-7e35-4738-9051-719dd7b32e9c', '10': '1000063305', '15': '8034'}",5,ARI,Arizona,ARI,Wildcats,Wildcats,True,#162C52,Team
96,164,"{'6': '6fddb136-b83b-4f5f-8574-54e5581aeaae', '10': '1000084593', '15': '8069'}",5,ORS,Oregon State,ORS,Beavers,Beavers,True,#DF5911,Team
97,162,"{'6': '28e1dbb0-1295-42ca-bda1-fddb122aed2b', '10': '1000092888', '15': '8341'}",5,UTH,Utah,UTH,Utes,Utes,True,#CF0D0E,Team
98,161,"{'6': '8f496f34-14e3-4ca7-958b-53f6da0b74d6', '10': '1000025525', '15': '8080'}",5,USC,USC,USC,Trojans,Trojans,True,#AC1622,Team
99,158,"{'6': '398eda2b-ba77-469f-94df-18fd1d9087d8', '10': '1000041015', '15': '8091'}",5,UCLA,UCLA,UCLA,Bruins,Bruins,True,#496FDA,Team
100,168,"{'6': 'eed7f0d6-72e6-4488-8baa-5ee8e3375ba9', '10': '1000004879', '15': '8049'}",5,CAL,California,CAL,Golden Bears,Golden Bears,True,#152D4F,Team
101,166,"{'6': '1ff5428d-2e8c-4b0f-a5a6-ebff126111a2', '10': '1000071439', '15': '8108'}",5,WST,Washington State,WST,Cougars,Cougars,True,#B30337,Team
102,160,"{'6': '00fd8418-0e62-4366-9a2a-d5f72850066c', '10': '1000024380', '15': '8042'}",5,ASU,Arizona State,ASU,Sun Devils,Sun Devils,True,#471f11,Team
103,165,"{'6': '7cea6bcb-8ecd-4c92-9b13-31345051ab82', '10': '1000058806', '15': '8084'}",5,STA,Stanford,STA,Cardinal,Cardinal,True,#990000,Team
104,159,"{'6': 'a18d7cf8-1263-45f2-a938-04032d2f7cf5', '10': '1000072147', '15': '7762'}",5,COL,Colorado,COL,Buffaloes,Buffaloes,True,#0F0F0F,Team
105,177,"{'6': '2eef738d-c637-4b12-b8df-4b79efcce71e', '10': '1000086632', '15': '8121'}",5,UGA,Georgia,UGA,Bulldogs,Bulldogs,True,#D90C0C,Team
106,181,"{'6': '772536c7-c3e8-40d1-ac6e-232d719dc052', '10': '1000087707', '15': '7795'}",5,MIZ,Missouri,MIZ,Tigers,Tigers,True,#E0AB1A,Team
107,182,"{'6': '9ecb9f6b-df4a-4a92-aaa4-5d50a5286bdd', '10': '1000039871', '15': '8144'}",5,TEN,Tennessee,TEN,Volunteers,Volunteers,True,#FFA604,Team
108,180,"{'6': 'c765cbff-99d8-4c43-8f6b-e49577ca18fa', '10': '1000025922', '15': '8114'}",5,FLA,Florida,FLA,Gators,Gators,True,#0E5CA0,Team
109,179,"{'6': '7b1dbcdb-34b2-479e-9b6b-4c7221e7f743', '10': '1000022102', '15': '8133'}",5,SC,South Carolina,SC,Gamecocks,Gamecocks,True,#953944,Team
110,183,"{'6': '5941ffa3-cdd5-459b-ab61-fef120b929b2', '10': '1000034282', '15': '8128'}",5,KEN,Kentucky,KEN,Wildcats,Wildcats,True,#1E69AA,Team
111,178,"{'6': '8177772e-e8b5-44c6-8dc2-a745b863ec3b', '10': '1000049302', '15': '8156'}",5,VAN,Vanderbilt,VAN,Commodores,Commodores,True,#000000,Team
112,172,"{'6': '19775492-f1eb-4bc5-9e15-078ebd689c0f', '10': '1000040823', '15': '8166'}",5,BAMA,Alabama,BAMA,Crimson Tide,Crimson Tide,True,#AA243C,Team
113,174,"{'6': 'e3df6700-2881-4b02-a170-f397bb5718a9', '10': '1000081861', '15': '8197'}",5,MIS,Ole Miss,MIS,Rebels,Rebels,True,#C50B2D,Team
114,176,"{'6': 'ffca4209-dbfa-4597-b25a-ed19bb351037', '10': '1000084586', '15': '8190'}",5,LSU,LSU,LSU,Tigers,Tigers,True,#271A5A,Team
115,170,"{'6': 'd5199a36-7f26-4c3b-be48-9599039e232c', '10': '1000034769', '15': '8251'}",5,TXAM,Texas A&M,TXAM,Aggies,Aggies,True,#590D0D,Team
116,175,"{'6': 'e5bbd1bd-0d65-4581-8d9c-58b33fd5ce62', '10': '1000022001', '15': '8183'}",5,AUB,Auburn,AUB,Tigers,Tigers,True,#04254C,Team
117,171,"{'6': '6653b9f3-44c6-4b23-8d15-d32aebdee1f9', '10': '1000045692', '15': '8205'}",5,MSST,Mississippi State,MSST,Bulldogs,Bulldogs,True,#862334,Team
118,173,"{'6': '52dc23de-c6ba-4467-b964-a433658eded2', '10': '1000047502', '15': '8175'}",5,ARK,Arkansas,ARK,Razorbacks,Razorbacks,True,#A83430,Team
119,261,"{'6': 'b59ad9ae-b8ec-4f8e-9bd2-ec5b4af41e57', '15': '9154'}",5,JM,James Madison,JM,Dukes,Dukes,True,#FF9632,Team
120,186,"{'6': 'da992ee8-f2dd-4196-a74a-c1ca4cd2d559', '10': '1000901794', '15': '8960'}",5,APP,Appalachian State,APP,Mountaineers,Mountaineers,True,#b3a807,Team
121,184,"{'6': '6489c587-507f-46a1-a3eb-ee9c2eee23f0', '10': '1000903559', '15': '9435'}",5,CC,Coastal Carolina,CC,Chanticleers,Chanticleers,True,#1597B9,Team
122,118,"{'6': 'c7384d59-3901-4342-8dbc-31801d925d11', '10': '1001446374', '15': '9444'}",5,ODU,Old Dominion,ODU,Monarchs,Monarchs,True,#103667,Team
123,185,"{'6': '1ec48c6a-638f-4a79-a134-ec43bd506612', '10': '1000668724', '15': '8987'}",5,GSO,Georgia Southern,GSO,Eagles,Eagles,True,#333945,Team
124,187,"{'6': '4f776283-3758-4325-b633-31a5be257a80', '10': '1000901791', '15': '9452'}",5,GST,Georgia State,GST,Panthers,Panthers,True,#3765CD,Team
125,120,"{'6': '77ffe1ca-a84c-4779-9293-345dcfb2c4ce', '10': '1000437750', '15': '8991'}",5,MSH,Marshall,MSH,Thundering Herd,Thundering Herd,True,#007A50,Team
126,188,"{'6': '71c1879b-9dfb-43a2-8476-c9cd283c0827', '10': '1000069910', '15': '9295'}",5,TRY,Troy,TRY,Trojans,Trojans,True,#5C1819,Team
127,189,"{'6': '9e028d90-7fe0-4a3f-8a6c-c5b5115e12fc', '10': '1001090655', '15': '9057'}",5,TXST,Texas State,TXST,Bobcats,Bobcats,True,#571C1F,Team
128,192,"{'6': 'b33187c4-a906-4cff-b15b-f1bcb410a743', '10': '1001158143', '15': '7904'}",5,ARKS,Arkansas State,ARKS,Red Wolves,Red Wolves,True,#D53738,Team
129,190,"{'6': 'b6fa0a24-da86-4c1d-aed7-7aad175cd249', '10': '1001091022', '15': '9449'}",5,SAB,South Alabama,SAB,Jaguars,Jaguars,True,#AA2520,Team
130,191,"{'6': '2dec939a-f303-43ac-964d-37e81f75e286', '15': '7968'}",5,ULL,Louisiana,ULL,Ragin' Cajuns,Ragin' Cajuns,True,#DF030F,Team
131,123,"{'6': '7a04d7e0-90cb-4497-8622-c53e284c2c19', '15': '8400'}",5,USM,Southern Miss,USM,Golden Eagles,Golden Eagles,True,#F8C239,Team
132,193,"{'6': '6370f943-c638-43f3-8c6b-740e6c4a8999', '10': '1000020079', '15': '8388'}",5,ULM,Louisiana-Monroe,ULM,Warhawks,Warhawks,True,#9E113B,Team
